State,County,Beach Name,rgn_id,,,,,,
MA,PLYMOUTH,A Street Bay Side,4,,,,,,4 = north
MA,PLYMOUTH,A Street Ocean,4,,,,,,5 = south
MA,PLYMOUTH,Antassawomak East,5,,,,,,
MA,PLYMOUTH,Bassings Beach,4,,,,,,
MA,PLYMOUTH,Brant Rock,4,,,,,,
MA,PLYMOUTH,Briarwood,5,,,,,,
MA,PLYMOUTH,Converse Point,5,,,,,,
MA,PLYMOUTH,Darcy's,4,,,,,,
MA,PLYMOUTH,Duxbury Beach @ Bath House,4,,,,,,
MA,PLYMOUTH,East Boulevard,5,,,,,,
MA,PLYMOUTH,Edgewater,4,,,,,,
MA,PLYMOUTH,Egypt,4,,,,,,
MA,PLYMOUTH,Fieldston,4,,,,,,
MA,PLYMOUTH,Gray's,4,,,,,,
MA,PLYMOUTH,Green Harbor,5,,,,,,
MA,PLYMOUTH,Gunrock,4,,,,,,
MA,PLYMOUTH,Harbor Beach 1 (North),5,,,,,,
MA,PLYMOUTH,Harbor Beach 2 (South),5,,,,,,
MA,PLYMOUTH,Hingham Town Beach,4,,,,,,
MA,PLYMOUTH,Humarock,4,,,,,,
MA,PLYMOUTH,Island Wharf,5,,,,,,
MA,PLYMOUTH,James Ave.,4,,,,,,
MA,PLYMOUTH,Kenberma,4,,,,,,
MA,PLYMOUTH,Landing Road,4,,,,,,
MA,PLYMOUTH,Little Harbor,5,,,,,,
MA,PLYMOUTH,Mattapoisett Town Beach,5,,,,,,
MA,PLYMOUTH,Minot,4,,,,,,
MA,PLYMOUTH,Ned's Point,5,,,,,,
MA,PLYMOUTH,Newport,4,,,,,,
MA,PLYMOUTH,North Boulevard,5,,,,,,
MA,PLYMOUTH,Oakdale Avenue,5,,,,,,
MA,PLYMOUTH,Onset,5,,,,,,
MA,PLYMOUTH,Parkwood,5,,,,,,
MA,PLYMOUTH,Peggotty,4,,,,,,
MA,PLYMOUTH,Pinehurst,5,,,,,,
MA,PLYMOUTH,Planting Island,5,,,,,,
MA,PLYMOUTH,Plymouth Beach - 1,4,,,,,,
MA,PLYMOUTH,Plymouth Beach - 3,4,,,,,,
MA,PLYMOUTH,Point Connett,5,,,,,,
MA,PLYMOUTH,Point Independence,5,,,,,,
MA,PLYMOUTH,Residents Beach (Duxbury Beach),4,,,,,,
MA,PLYMOUTH,Riverside Avenue,5,,,,,,
MA,PLYMOUTH,Rocky Nook,4,,,,,,
MA,PLYMOUTH,Sand Hills,4,,,,,,
MA,PLYMOUTH,Scituate Lighthouse,4,,,,,,
MA,PLYMOUTH,Shell Point,5,,,,,,
MA,PLYMOUTH,Shining Tides Reservation,5,,,,,,
MA,PLYMOUTH,Shipyard Lane,4,,,,,,
MA,PLYMOUTH,Sunrise,4,,,,,,
